timestamp,hourly_traffic_count
datetime,float
T,
2011-02-02 10:00:00,1690
2011-02-02 11:00:00,1563
2011-02-02 12:00:00,1559
2011-02-02 13:00:00,1627
2011-02-02 14:00:00,1777
2011-02-02 15:00:00,2333
2011-02-02 16:00:00,3157
2011-02-02 17:00:00,3428
2011-02-02 18:00:00,3130
2011-02-02 19:00:00,3070
2011-02-02 20:00:00,2474
2011-02-02 21:00:00,2130
2011-02-02 22:00:00,1795
2011-02-02 23:00:00,1535
2011-02-03 00:00:00,1312
2011-02-03 01:00:00,958
2011-02-03 02:00:00,552
2011-02-03 03:00:00,437
2011-02-03 04:00:00,355
2011-02-03 05:00:00,500
2011-02-03 06:00:00,1042
2011-02-03 07:00:00,2372
2011-02-03 08:00:00,3244
2011-02-03 09:00:00,3249
2011-02-03 10:00:00,2015
2011-02-03 11:00:00,3160
2011-02-03 12:00:00,2667
2011-02-03 13:00:00,2913
2011-02-03 14:00:00,3273
2011-02-03 15:00:00,3744
2011-02-03 16:00:00,4282
2011-02-03 17:00:00,4754
2011-02-03 18:00:00,4917
2011-02-03 19:00:00,4483
2011-02-03 20:00:00,4221
2011-02-03 21:00:00,3652
2011-02-03 22:00:00,2839
2011-02-03 23:00:00,2000
2011-02-04 00:00:00,1807
2011-02-04 01:00:00,1212
2011-02-04 02:00:00,694
2011-02-04 03:00:00,516
2011-02-04 04:00:00,456
2011-02-04 05:00:00,579
2011-02-04 06:00:00,1105
2011-02-04 07:00:00,2451
2011-02-04 08:00:00,3243
2011-02-04 09:00:00,3618
2011-02-04 10:00:00,2741
2011-02-04 11:00:00,2749
2011-02-04 12:00:00,2984
2011-02-04 13:00:00,3110
2011-02-04 14:00:00,3484
2011-02-04 15:00:00,3843
2011-02-04 16:00:00,4537
2011-02-04 17:00:00,4437
2011-02-04 18:00:00,4291
2011-02-04 19:00:00,4567
2011-02-04 20:00:00,4267
2011-02-04 21:00:00,3897
2011-02-04 22:00:00,3122
2011-02-04 23:00:00,3022
2011-02-05 00:00:00,2363
2011-02-05 01:00:00,1751
2011-02-05 02:00:00,1288
2011-02-05 03:00:00,945
2011-02-05 04:00:00,781
2011-02-05 05:00:00,793
2011-02-05 06:00:00,786
2011-02-05 07:00:00,1280
2011-02-05 08:00:00,1664
2011-02-05 09:00:00,2129
2011-02-05 10:00:00,2405
2011-02-05 11:00:00,2698
2011-02-05 12:00:00,3040
2011-02-05 13:00:00,3189
2011-02-05 14:00:00,3368
2011-02-05 15:00:00,3614
2011-02-05 16:00:00,3684
2011-02-05 17:00:00,3511
2011-02-05 18:00:00,3442
2011-02-05 19:00:00,3241
2011-02-05 20:00:00,2937
2011-02-05 21:00:00,2600
2011-02-05 22:00:00,2518
2011-02-05 23:00:00,2371
2011-02-06 00:00:00,2286
2011-02-06 01:00:00,1739
2011-02-06 02:00:00,1134
2011-02-06 03:00:00,988
2011-02-06 04:00:00,764
2011-02-06 05:00:00,821
2011-02-06 06:00:00,648
2011-02-06 07:00:00,816
2011-02-06 08:00:00,1174
2011-02-06 09:00:00,1429
2011-02-06 10:00:00,1819
2011-02-06 11:00:00,2536
2011-02-06 12:00:00,3115
2011-02-06 13:00:00,2952
2011-02-06 14:00:00,3258
2011-02-06 15:00:00,3661
2011-02-06 16:00:00,3449
2011-02-06 17:00:00,4074
2011-02-06 18:00:00,4099
2011-02-06 19:00:00,3430
2011-02-06 20:00:00,2609
2011-02-06 21:00:00,2086
2011-02-06 22:00:00,1842
2011-02-06 23:00:00,2341
2011-02-07 00:00:00,2218
2011-02-07 01:00:00,1239
2011-02-07 02:00:00,588
2011-02-07 03:00:00,456
2011-02-07 04:00:00,409
2011-02-07 05:00:00,529
2011-02-07 06:00:00,1139
2011-02-07 07:00:00,2474
2011-02-07 08:00:00,3547
2011-02-07 09:00:00,3487
